,time,caltime,pixmem,addsOrSubs,divisions,comparisons,width,height,width2,height2,dx,dy,numPixelsOrig,numPixelsSub
0,4.446531,1.981775,4539744,8809488,90000,0,300,300,0,0,3,3,90000,0
1,4.58629,2.059595,19929136,39588272,90000,0,300,300,0,0,7,7,90000,0
2,4.393266,2.038121,31652100,63034200,90000,0,300,300,0,0,9,9,90000,0
3,4.537291,2.075550,45985824,91701648,90000,0,300,300,0,0,11,11,90000,0
4,4.643001,2.095402,62874724,125479448,90000,0,300,300,0,0,13,13,90000,0
5,4.609718,2.158927,82263600,164257200,90000,0,300,300,0,0,15,15,90000,0
6,4.730184,2.243486,104097636,207925272,90000,0,300,300,0,0,17,17,90000,0
7,4.345507,2.020281,13283472,25780512,262144,0,512,512,0,0,3,3,262144,0
8,4.65161,2.115146,58649664,116512896,262144,0,512,512,0,0,7,7,262144,0
9,5.479037,2.372168,93415332,186044232,262144,0,512,512,0,0,9,9,262144,0
10,5.236742,2.264847,136107024,271427616,262144,0,512,512,0,0,11,11,262144,0
11,5.466666,2.431343,186628452,372470472,262144,0,512,512,0,0,13,13,262144,0
12,5.431148,2.549230,244883712,488980992,262144,0,512,512,0,0,15,15,262144,0
13,5.657409,2.609009,310777284,620768136,262144,0,512,512,0,0,17,17,262144,0
14,4.505274,2.135993,44905824,87160848,883600,0,940,940,0,0,3,3,883600,0
15,5.100116,2.377126,199001136,395351472,883600,0,940,940,0,0,7,7,883600,0
16,5.578684,2.596086,317540100,632429400,883600,0,940,940,0,0,9,9,883600,0
17,6.138378,2.921706,463501344,924351888,883600,0,940,940,0,0,11,11,883600,0
18,6.775736,3.200748,636706404,1270762008,883600,0,940,940,0,0,13,13,883600,0
19,7.546123,3.528991,836977200,1671303600,883600,0,940,940,0,0,15,15,883600,0
20,8.52564,3.991032,1064136036,2125621272,883600,0,940,940,0,0,17,17,883600,0
21,4.844192,2.175274,97684944,189609888,1920000,0,1600,1200,0,0,3,3,1920000,0
22,6.551459,2.620972,433491136,861222272,1920000,0,1600,1200,0,0,7,7,1920000,0
23,7.437698,3.462378,692180100,1378600200,1920000,0,1600,1200,0,0,9,9,1920000,0
24,8.230068,3.934933,1011036624,2016313248,1920000,0,1600,1200,0,0,11,11,1920000,0
25,9.87247,4.644352,1389793924,2773827848,1920000,0,1600,1200,0,0,13,13,1920000,0
26,11.578909,5.423657,1828185600,3650611200,1920000,0,1600,1200,0,0,15,15,1920000,0
27,13.612941,6.248036,2325945636,4646131272,1920000,0,1600,1200,0,0,17,17,1920000,0
